Pais,Data,IHPC_Indice
Belgium,2025-01,133.07
Belgium,2025-02,136.32
Belgium,2025-03,135.71
Belgium,2025-04,134.79
Belgium,2025-05,134.67
Belgium,2025-06,135.32
Belgium,2025-07,134.17
Belgium,2025-08,136.19
Belgium,2025-09,135.76
Belgium,2025-10,136.26
Bulgaria,2025-01,141.47
Bulgaria,2025-02,142.09
Bulgaria,2025-03,142.53
Bulgaria,2025-04,140.76
Bulgaria,2025-05,140.84
Bulgaria,2025-06,141.44
Bulgaria,2025-07,143.49
Bulgaria,2025-08,143.68
Bulgaria,2025-09,142.81
Bulgaria,2025-10,143.42
Czechia,2025-01,154.5
Czechia,2025-02,154.8
Czechia,2025-03,154.9
Czechia,2025-04,154.7
Czechia,2025-05,155.5
Czechia,2025-06,155.8
Czechia,2025-07,156.5
Czechia,2025-08,156.5
Czechia,2025-09,155.3
Czechia,2025-10,156.1
Denmark,2025-01,119.9
Denmark,2025-02,121.1
Denmark,2025-03,120.4
Denmark,2025-04,120.5
Denmark,2025-05,120.5
Denmark,2025-06,120.9
Denmark,2025-07,122.9
Denmark,2025-08,122.0
Denmark,2025-09,121.8
Denmark,2025-10,122.5
Germany,2025-01,129.9
Germany,2025-02,130.5
Germany,2025-03,131.0
Germany,2025-04,131.6
Germany,2025-05,131.8
Germany,2025-06,131.9
Germany,2025-07,132.4
Germany,2025-08,132.5
Germany,2025-09,132.8
Germany,2025-10,133.2
Estonia,2025-01,158.17
Estonia,2025-02,160.25
Estonia,2025-03,159.76
Estonia,2025-04,161.61
Estonia,2025-05,161.85
Estonia,2025-06,163.64
Estonia,2025-07,164.55
Estonia,2025-08,166.05
Estonia,2025-09,164.19
Estonia,2025-10,164.34
Ireland,2025-01,119.2
Ireland,2025-02,120.2
Ireland,2025-03,121.0
Ireland,2025-04,121.5
Ireland,2025-05,121.5
Ireland,2025-06,122.1
Ireland,2025-07,122.3
Ireland,2025-08,122.8
Ireland,2025-09,122.5
Ireland,2025-10,123.0
Greece,2025-01,119.53
Greece,2025-02,119.56
Greece,2025-03,121.82
Greece,2025-04,122.39
Greece,2025-05,122.82
Greece,2025-06,124.39
Greece,2025-07,124.02
Greece,2025-08,123.23
Greece,2025-09,123.90
Greece,2025-10,123.79
Spain,2025-01,124.31
Spain,2025-02,124.80
Spain,2025-03,125.66
Spain,2025-04,126.44
Spain,2025-05,126.40
Spain,2025-06,127.27
Spain,2025-07,126.84
Spain,2025-08,126.88
Spain,2025-09,127.17
Spain,2025-10,127.85
France,2025-01,123.42
France,2025-02,123.49
France,2025-03,123.73
France,2025-04,124.55
France,2025-05,124.32
France,2025-06,124.85
France,2025-07,125.20
France,2025-08,125.80
France,2025-09,124.47
France,2025-10,124.58
Croatia,2025-01,134.66
Croatia,2025-02,134.68
Croatia,2025-03,135.28
Croatia,2025-04,136.26
Croatia,2025-05,136.99
Croatia,2025-06,138.10
Croatia,2025-07,139.77
Croatia,2025-08,140.06
Croatia,2025-09,139.25
Croatia,2025-10,139.50
Italy,2025-01,122.4
Italy,2025-02,122.5
Italy,2025-03,124.4
Italy,2025-04,124.9
Italy,2025-05,124.8
Italy,2025-06,125.1
Italy,2025-07,123.9
Italy,2025-08,123.6
Italy,2025-09,125.2
Italy,2025-10,125.0
Cyprus,2025-01,115.95
Cyprus,2025-02,116.26
Cyprus,2025-03,116.86
Cyprus,2025-04,117.68
Cyprus,2025-05,117.95
Cyprus,2025-06,118.45
Cyprus,2025-07,118.92
Cyprus,2025-08,119.88
Cyprus,2025-09,119.39
Cyprus,2025-10,119.45
Latvia,2025-01,147.24
Latvia,2025-02,148.33
Latvia,2025-03,149.67
Latvia,2025-04,151.30
Latvia,2025-05,151.37
Latvia,2025-06,151.70
Latvia,2025-07,151.84
Latvia,2025-08,151.60
Latvia,2025-09,151.78
Latvia,2025-10,152.16
Lithuania,2025-01,154.41
Lithuania,2025-02,155.14
Lithuania,2025-03,155.78
Lithuania,2025-04,156.10
Lithuania,2025-05,155.67
Lithuania,2025-06,156.00
Lithuania,2025-07,156.19
Lithuania,2025-08,155.71
Lithuania,2025-09,156.37
Lithuania,2025-10,156.52
Luxembourg,2025-01,125.24
Luxembourg,2025-02,126.66
Luxembourg,2025-03,126.48
Luxembourg,2025-04,127.27
Luxembourg,2025-05,127.88
Luxembourg,2025-06,128.23
Luxembourg,2025-07,127.86
Luxembourg,2025-08,129.34
Luxembourg,2025-09,129.17
Luxembourg,2025-10,128.99
Hungary,2025-01,171.85
Hungary,2025-02,173.11
Hungary,2025-03,173.12
Hungary,2025-04,173.32
Hungary,2025-05,173.72
Hungary,2025-06,174.03
Hungary,2025-07,174.80
Hungary,2025-08,174.87
Hungary,2025-09,174.55
Hungary,2025-10,174.61
Malta,2025-01,119.92
Malta,2025-02,120.45
Malta,2025-03,121.79
Malta,2025-04,125.73
Malta,2025-05,127.92
Malta,2025-06,129.43
Malta,2025-07,130.00
Malta,2025-08,130.93
Malta,2025-09,129.23
Malta,2025-10,128.03
Netherlands,2025-01,131.94
Netherlands,2025-02,133.82
Netherlands,2025-03,134.50
Netherlands,2025-04,136.91
Netherlands,2025-05,135.73
Netherlands,2025-06,135.72
Netherlands,2025-07,137.06
Netherlands,2025-08,137.48
Netherlands,2025-09,137.06
Netherlands,2025-10,137.88
Austria,2025-01,137.13
Austria,2025-02,137.82
Austria,2025-03,138.27
Austria,2025-04,138.64
Austria,2025-05,138.40
Austria,2025-06,138.77
Austria,2025-07,138.88
Austria,2025-08,139.32
Austria,2025-09,139.37
Austria,2025-10,140.07
Poland,2025-01,152.1
Poland,2025-02,152.6
Poland,2025-03,153.1
Poland,2025-04,153.6
Poland,2025-05,153.4
Poland,2025-06,153.5
Poland,2025-07,153.9
Poland,2025-08,153.8
Poland,2025-09,154.1
Poland,2025-10,154.6
Portugal,2025-01,121.55
Portugal,2025-02,121.46
Portugal,2025-03,123.54
Portugal,2025-04,125.14
Portugal,2025-05,125.94
Portugal,2025-06,126.02
Portugal,2025-07,125.58
Portugal,2025-08,125.45
Portugal,2025-09,126.67
Portugal,2025-10,126.28
Romania,2025-01,154.38
Romania,2025-02,155.44
Romania,2025-03,155.97
Romania,2025-04,156.29
Romania,2025-05,157.06
Romania,2025-06,157.74
Romania,2025-07,159.86
Romania,2025-08,163.21
Romania,2025-09,164.02
Romania,2025-10,164.92
Slovenia,2025-01,128.48
Slovenia,2025-02,128.72
Slovenia,2025-03,129.80
Slovenia,2025-04,130.87
Slovenia,2025-05,130.80
Slovenia,2025-06,131.64
Slovenia,2025-07,131.98
Slovenia,2025-08,131.99
Slovenia,2025-09,131.97
Slovenia,2025-10,132.07
Slovakia,2025-01,147.01
Slovakia,2025-02,147.59
Slovakia,2025-03,148.01
Slovakia,2025-04,148.15
Slovakia,2025-05,148.92
Slovakia,2025-06,149.32
Slovakia,2025-07,149.85
Slovakia,2025-08,150.00
Slovakia,2025-09,150.29
Slovakia,2025-10,150.44
Finland,2025-01,121.07
Finland,2025-02,121.64
Finland,2025-03,121.80
Finland,2025-04,121.99
Finland,2025-05,122.08
Finland,2025-06,121.87
Finland,2025-07,122.24
Finland,2025-08,121.91
Finland,2025-09,122.48
Finland,2025-10,122.37
Sweden,2025-01,130.62
Sweden,2025-02,131.94
Sweden,2025-03,131.19
Sweden,2025-04,131.50
Sweden,2025-05,131.96
Sweden,2025-06,132.71
Sweden,2025-07,133.12
Sweden,2025-08,132.69
Sweden,2025-09,132.90
Sweden,2025-10,133.42
